pontoId,lat_pred,lon_pred
6055,-9.460375,-41.14797
5049,-9.427398,-40.78191
5328,-9.522721,-41.823765
4852,-9.358854,-40.604355
4510,-9.243847,-40.31966
80,-9.399947,-42.110935
5013,-9.466879,-40.858265
3298,-9.298423,-40.47976
3080,-9.201155,-39.768845
5953,-9.556986,-41.031498
6220,-9.339619,-41.08749
2111,-9.245925,-40.50486
5238,-9.4339485,-41.82615
3853,-9.68192,-40.874733
4314,-9.570646,-41.312775
6506,-9.385769,-40.90335
5856,-9.533486,-41.013798
4377,-9.25666,-40.401623
4214,-9.573247,-41.43847
3311,-9.29817,-40.47889
6508,-9.397184,-40.899742
3256,-9.242985,-40.261444
3059,-9.215456,-39.702553
403,-9.473102,-41.75289
620,-9.467065,-41.861557
132,-9.407213,-42.01792
3470,-9.367909,-40.51353
5898,-9.600699,-41.025925
4583,-9.252202,-40.458572
1487,-9.345563,-40.7139
3424,-9.348728,-40.493546
4698,-9.22376,-40.439835
6115,-9.510031,-40.768593
2536,-9.697474,-40.883144
649,-9.502253,-41.70505
3010,-9.682044,-40.362415
2621,-9.678728,-40.971416
4993,-9.448712,-40.93317
4047,-9.62434,-40.92649
5081,-9.513506,-41.934155
2419,-9.683423,-40.827087
59,-9.404959,-42.04461
4843,-9.358854,-40.604355
5726,-9.524262,-42.194187
2478,-9.683423,-40.827087
5715,-9.474224,-42.11386
3637,-9.322982,-40.628056
2281,-9.295264,-40.348755
829,-9.408429,-40.643997
4908,-9.311196,-40.564198
2480,-9.683423,-40.827087
5244,-9.4339485,-41.82615
3891,-9.69112,-40.75798
6521,-9.397184,-40.899742
5969,-9.556986,-41.031498
3805,-9.689043,-40.755108
3020,-9.668163,-40.66035
5826,-9.487665,-41.876637
5575,-9.469466,-41.692875
290,-9.4112015,-41.97387
2392,-9.683423,-40.827087
4079,-9.619988,-40.955242
4205,-9.579362,-41.296875
1913,-9.253659,-40.893513
1378,-9.369791,-40.660774
3923,-9.676953,-40.779484
2856,-9.668424,-40.89923
3384,-9.344582,-40.51333
5133,-9.513506,-41.934155
5090,-9.513506,-41.934155
4136,-9.646087,-40.961563
6557,-9.396856,-41.002415
1625,-9.226101,-40.58631
452,-9.466815,-41.75944
3320,-9.340679,-40.59166
1999,-9.144351,-40.218254
2739,-9.667176,-41.212555
6001,-9.451108,-40.25068
787,-9.501035,-41.70977
4430,-9.226467,-40.279476
5319,-9.519916,-41.83713
1182,-9.371066,-40.866558
1345,-9.382325,-40.637146
6190,-9.437753,-41.08709
2723,-9.679999,-40.80878
1545,-9.33884,-40.592316
4259,-9.570646,-41.312775
4343,-9.570646,-41.312775
5929,-9.556986,-41.031498
2816,-9.669751,-40.779152
5977,-9.443822,-40.39801
2005,-9.216487,-40.522514
5450,-9.457996,-41.83086
3385,-9.344582,-40.51333
4874,-9.367762,-40.56973
2578,-9.679374,-40.954
4404,-9.25666,-40.401623
1072,-9.374114,-40.957733
3907,-9.666247,-40.797695
1289,-9.344071,-40.327747
5510,-9.52529,-42.250305
2255,-9.290381,-40.664898
6203,-9.339619,-41.08749
5223,-9.504739,-41.923298
414,-9.451612,-41.82083
6509,-9.397184,-40.899742
3438,-9.348728,-40.493546
1106,-9.375883,-40.985313
3600,-9.322982,-40.628056
1113,-9.360267,-40.823765
3110,-9.211575,-39.6939
3867,-9.69418,-40.64716
1548,-9.33884,-40.592316
108,-9.399947,-42.110935
3472,-9.367909,-40.51353
187,-9.415058,-41.952892
1561,-9.338031,-40.58702
4788,-9.441218,-41.084732
1261,-9.368613,-40.423943
112,-9.399947,-42.110935
3089,-9.201155,-39.768845
2428,-9.683423,-40.827087
6453,-9.377478,-40.87443
2415,-9.683423,-40.827087
4819,-9.370614,-40.54026
5841,-9.487665,-41.876637
2234,-9.289268,-40.72928
4424,-9.255103,-40.388016
5863,-9.533486,-41.013798
1177,-9.371066,-40.866558
1361,-9.389745,-40.613773
4758,-9.161318,-40.204124
6009,-9.451108,-40.25068
6606,-9.391801,-40.98439
719,-9.501035,-41.70977
1481,-9.334452,-40.69553
3081,-9.201155,-39.768845
4983,-9.384873,-41.018623
2362,-9.683423,-40.827087
3062,-9.207342,-39.7421
3156,-9.212644,-39.694958
6280,-9.357829,-41.09226
62,-9.404959,-42.04461
2244,-9.289641,-40.707653
1380,-9.372391,-40.66796
2006,-9.232899,-40.653957
1510,-9.35636,-40.676636
5643,-9.494934,-42.201923
3114,-9.211575,-39.6939
5386,-9.455399,-41.779057
5879,-9.600699,-41.025925
526,-9.432853,-41.89098
6344,-9.357829,-41.09226
1667,-9.136997,-40.124912
2854,-9.668424,-40.89923
4258,-9.570646,-41.312775
1981,-9.133815,-40.238926
1773,-9.240046,-40.54714
1327,-9.394204,-40.604393
4225,-9.57765,-41.29519
4689,-9.2760515,-40.571323
2908,-9.599582,-41.95714
2269,-9.289533,-40.714046
6151,-9.485863,-40.676617
2917,-9.609764,-42.143906
5072,-9.513506,-41.934155
3168,-9.214358,-39.699413
4274,-9.570646,-41.312775
557,-9.462892,-41.853905
6399,-9.375795,-40.86758
4893,-9.395807,-40.569534
2240,-9.289641,-40.707653
4683,-9.2760515,-40.571323
886,-9.408429,-40.643997
1021,-9.385865,-40.787357
5992,-9.451108,-40.25068
2891,-9.598362,-41.965004
4168,-9.6248,-41.072784
3681,-9.683924,-40.774017
4419,-9.255103,-40.388016
2767,-9.664104,-41.285187
5900,-9.600699,-41.025925
5511,-9.527693,-42.264763
584,-9.481801,-42.26293
5126,-9.513506,-41.934155
4781,-9.18868,-40.317017
642,-9.473873,-41.789536
2600,-9.675584,-41.0535
6395,-9.375795,-40.86758
2581,-9.641541,-40.86038
5978,-9.443822,-40.39801
5139,-9.513506,-41.934155
2042,-9.256453,-40.550472
1284,-9.353833,-39.965534
4460,-9.2437,-40.38336
315,-9.416319,-41.95557
4191,-9.593604,-41.244812
5010,-9.424568,-40.762424
6057,-9.460375,-41.14797
5074,-9.513506,-41.934155
5656,-9.490657,-42.17481
4957,-9.367483,-40.99269
4041,-9.626331,-41.045902
4365,-9.570646,-41.312775
431,-9.466494,-41.75644
3516,-9.309486,-40.624767
2935,-9.6250925,-41.391636
5750,-9.487665,-41.876637
2104,-9.25669,-40.543182
4504,-9.244903,-40.32606
4157,-9.6248,-41.072784
1365,-9.389745,-40.613773
4570,-9.252202,-40.458572
5819,-9.487665,-41.876637
3084,-9.201155,-39.768845
4602,-9.2895565,-40.543068
3246,-9.242472,-40.232765
2710,-9.682986,-40.81818
4911,-9.304399,-40.588097
6315,-9.357829,-41.09226
2194,-9.181706,-40.40173
4724,-9.221118,-40.43872
5902,-9.600699,-41.025925
4075,-9.619988,-40.955242
5526,-9.451808,-41.919586
1156,-9.367617,-40.83224
1806,-9.266026,-40.43746
6582,-9.396856,-41.002415
6570,-9.396856,-41.002415
1203,-9.368596,-40.50388
4089,-9.619988,-40.955242
5979,-9.443822,-40.39801
234,-9.408467,-42.003178
4318,-9.570646,-41.312775
6600,-9.396856,-41.002415
1090,-9.417535,-41.15158
5145,-9.513506,-41.934155
1458,-9.344106,-40.74163
6404,-9.375795,-40.86758
3728,-9.683924,-40.774017
4839,-9.361216,-40.595417
2306,-9.291718,-40.372833
3161,-9.212644,-39.694958
3950,-9.692407,-40.73993
2445,-9.683423,-40.827087
517,-9.405195,-41.790558
1935,-9.182132,-40.385895
5930,-9.556986,-41.031498
117,-9.399947,-42.110935
1991,-9.081212,-39.856976
3726,-9.683924,-40.774017
5067,-9.38736,-40.72841
2389,-9.683423,-40.827087
1237,-9.367354,-40.409447
4223,-9.584699,-41.272934
4873,-9.367762,-40.56973
223,-9.413329,-41.94448
249,-9.408467,-42.003178
6233,-9.339619,-41.08749
1727,-9.234608,-40.625378
307,-9.4112015,-41.97387
6392,-9.375795,-40.86758
3104,-9.200115,-39.77617
1730,-9.234608,-40.625378
4735,-9.265993,-40.661537
5638,-9.509585,-42.38812
1046,-9.389393,-40.98376
1593,-9.338031,-40.58702
2594,-9.682461,-40.78068
505,-9.442866,-41.858776
2825,-9.6700535,-40.844944
3870,-9.696071,-40.779736
4221,-9.584699,-41.272934
5418,-9.453071,-41.979298
6168,-9.4793215,-40.79077
3571,-9.309192,-40.620487
880,-9.408429,-40.643997
3983,-9.639559,-41.14527
5182,-9.513506,-41.934155
5113,-9.513506,-41.934155
4864,-9.356123,-40.604168
4593,-9.285704,-40.519657
5903,-9.593181,-41.035336
4815,-9.370614,-40.54026
6421,-9.381922,-40.889328
3845,-9.682064,-40.883232
6528,-9.397184,-40.899742
3060,-9.215129,-39.701614
3652,-9.683924,-40.774017
3163,-9.214358,-39.699413
3922,-9.665378,-40.809906
6061,-9.47569,-40.957638
3336,-9.341274,-40.59208
4308,-9.570646,-41.312775
2994,-9.683465,-40.305676
2026,-9.181792,-40.377823
5626,-9.463679,-42.051876
5103,-9.513506,-41.934155
2302,-9.29844,-40.66393
2984,-9.683465,-40.305676
5157,-9.513506,-41.934155
5649,-9.494934,-42.201923
5241,-9.4339485,-41.82615
6305,-9.357829,-41.09226
5443,-9.457996,-41.83086
6496,-9.374612,-40.896725
5920,-9.5841255,-41.05359
226,-9.413329,-41.94448
4955,-9.355034,-40.973907
4835,-9.360086,-40.50954
5645,-9.494934,-42.201923
5369,-9.432741,-41.85568
6192,-9.437753,-41.08709
1882,-9.253512,-40.548733
4305,-9.570646,-41.312775
188,-9.415058,-41.952892
5073,-9.513506,-41.934155
2152,-9.206852,-40.346317
5292,-9.519346,-41.92322
4655,-9.371964,-40.752876
4536,-9.240898,-40.36379
5861,-9.533486,-41.013798
6451,-9.396136,-40.88853
6016,-9.425023,-40.46727
2420,-9.683423,-40.827087
3734,-9.683924,-40.774017
1054,-9.389593,-40.989235
1638,-9.321083,-40.709625
641,-9.473873,-41.789536
2530,-9.688659,-40.854256
4165,-9.6248,-41.072784
3943,-9.664061,-40.81561
4517,-9.24985,-40.356106
2789,-9.667798,-40.969776
192,-9.415058,-41.952892
3672,-9.683924,-40.774017
1459,-9.341681,-40.739334
330,-9.417005,-41.95467
1976,-9.139508,-40.35442
332,-9.418361,-41.94679
5834,-9.487665,-41.876637
2245,-9.289641,-40.707653
1125,-9.358641,-40.834656
2549,-9.687167,-41.01425
344,-9.434269,-41.868687
1759,-9.2302685,-40.63794
1557,-9.33884,-40.592316
209,-9.41353,-41.945454
6014,-9.451108,-40.25068
3747,-9.6835985,-40.774166
6074,-9.520753,-40.861652
3407,-9.354672,-40.494118
3468,-9.367909,-40.51353
4704,-9.23921,-40.521416
1542,-9.33884,-40.592316
343,-9.434269,-41.868687
5581,-9.471142,-41.681416
79,-9.399947,-42.110935
269,-9.394129,-42.176548
2301,-9.29844,-40.66393
2168,-9.238883,-40.741127
960,-9.401604,-40.71205
413,-9.451612,-41.82083
5377,-9.4373665,-41.884132
3847,-9.682064,-40.883232
1195,-9.367161,-40.7101
3528,-9.309226,-40.62451
1720,-9.234608,-40.625378
4569,-9.252202,-40.458572
227,-9.413329,-41.94448
1294,-9.344071,-40.327747
2975,-9.683465,-40.305676
1254,-9.369444,-40.43589
2631,-9.663885,-41.38853
6372,-9.390824,-40.937695
2287,-9.289034,-40.342003
4409,-9.25666,-40.401623
3691,-9.683924,-40.774017
4255,-9.570646,-41.312775
4922,-9.346813,-40.85318
5561,-9.469466,-41.692875
1145,-9.367617,-40.83224
1296,-9.344071,-40.327747
3801,-9.6831045,-40.783386
3211,-9.236472,-40.1484
155,-9.403435,-42.06477
5247,-9.4339485,-41.82615
5531,-9.4607315,-42.041004
6027,-9.425023,-40.46727
6361,-9.390824,-40.937695
4077,-9.620649,-40.957596
5912,-9.584986,-41.041695
1362,-9.389745,-40.613773
