lat,lon,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,pontoId
-8.05668,-34.95561,-95.47,-99.0457142857143,-94.83,-99.0533333333333,-91.565,-94.78,-85.77833333333331,-65.878,-86.22,6,5,1,6771
-8.0556,-34.95443,-91.0242857142857,-96.2,-84.51,-96.0116666666667,-91.935,-92.6557142857143,-78.6366666666667,-71.05199999999999,-93.47,6,5,2,7044
-8.05294,-34.94872,-84.27,-88.6757142857143,-89.07285714285709,-72.58,-87.85,-81.94714285714291,-91.17,-91.176,-97.255,5,2,4,7810
-8.05555,-34.95632,-91.00714285714291,-99.1157142857143,-90.12178571428569,-96.1066666666667,-92.8375,-93.88142857142859,-85.855,-65.69,-87.005,6,6,1,7088
-8.05064,-34.95492,-83.56928571428571,-99.4125,-81.27285714285709,-99.8383333333333,-94.41375,-94.04357142857141,-83.84888888888891,-98.5686666666667,-94.14,4,5,3,8636
-8.05141,-34.95324,-95.04,-92.2371428571429,-84.83428571428571,-86.52,-87.49,-85.7528571428571,-96.88,-95.046,-94.7075,4,4,3,8439
-8.055069999999999,-34.95365,-87.52,-96.4728571428571,-90.33,-94.0783333333333,-88.91,-91.75857142857141,-89.64,-73.57,-97.3075,6,4,2,7384
-8.04773,-34.94539,-89.63285714285709,-89.55142857142859,-91.72357142857142,-87.9,-92.53,-82.10428571428571,-87.8358333333333,-81.828,-96.92,4,2,7,9416
-8.05585,-34.95078,-88.28,-93.5357142857143,-91.6666666666667,-85.28,-77.245,-81.96,-92.7333333333333,-93.204,-96.3725,6,3,3,6934
-8.05447,-34.95605,-92.87619047619049,-98.7371428571429,-91.64,-101.7375,-101.5175,-95.78,-81.81,-88.0,-94.84,6,5,1,7487
-8.0545,-34.95939,-84.78,-100.805714285714,-82.1671428571429,-95.72,-100.225,-87.07142857142858,-74.04333333333331,-89.368,-54.66,6,7,1,7476
-8.05207,-34.94749,-88.48,-91.12857142857142,-93.22857142857141,-57.71,-75.46,-85.91,-87.8933333333333,-96.13799999999999,-97.6,5,1,5,8093
-8.054,-34.953540000000004,-80.01,-96.6671428571429,-90.83,-92.83,-99.61,-89.6957142857143,-91.38,-89.96799999999999,-95.455,5,4,2,7614
-8.0561,-34.95644,-93.29,-99.1157142857143,-86.47,-100.575,-92.505,-94.3,-84.4966666666667,-74.684,-94.17,6,6,1,6884
-8.05063,-34.95969,-89.2828571428571,-95.22142857142859,-89.33,-98.18,-94.1925,-93.52857142857141,-89.1316666666667,-102.68799999999999,-89.77,5,7,2,8639
-8.052769999999999,-34.94652,-92.1857142857143,-90.0457142857143,-90.07285714285709,-59.29,-78.995,-79.5271428571429,-90.685,-83.03,-97.255,5,1,5,7858
-8.04853,-34.95864,-95.15,-92.3842857142857,-78.76,-96.4233333333333,-101.69,-95.1042857142857,-83.1183333333333,-106.544,-87.08,4,7,3,9191
-8.04909,-34.94709,-97.3042857142857,-84.71,-94.31,-77.46,-96.4925,-94.28,-93.635,-96.51799999999999,-96.3575,4,2,6,9024
-8.04911,-34.956590000000006,-79.95,-94.61285714285721,-74.26,-98.6366666666667,-95.78,-94.68142857142858,-89.895,-102.22866666666701,-92.08,3,6,3,9017
-8.05222,-34.95333,-86.06,-94.23,-84.47,-97.61,-92.725,-96.92,-88.2,-97.572,-95.605,4,4,3,8007
-8.05102,-34.95975,-80.78,-93.48,-81.7585714285714,-99.26,-91.1775,-88.95142857142858,-90.1316666666667,-102.204,-90.41,5,7,2,8562
-8.04978,-34.95309,-88.9642857142857,-91.26,-82.44,-93.39,-90.3708333333333,-87.69547619047621,-91.8966666666667,-97.35799999999999,-95.3075,3,4,3,8858
-8.05182,-34.948240000000006,-89.25714285714291,-93.0628571428571,-91.87,-71.84,-80.4775,-79.64571428571429,-86.7466666666667,-94.25200000000001,-97.6,4,2,5,8261
-8.05178,-34.95983,-82.08,-95.68428571428569,-87.49142857142859,-99.26,-98.2575,-93.5317857142857,-83.87,-99.194,-79.33,5,7,2,8280
-8.058060000000001,-34.95115,-96.1657142857143,-91.94,-92.6342857142857,-95.825,-80.4925,-93.78,-93.295,-94.14,-96.2325,7,4,3,6719
-8.05053,-34.953759999999996,-83.69285714285719,-94.7492857142857,-82.01,-97.59,-97.4925,-96.72,-90.44142857142859,-98.04799999999999,-98.1,3,4,3,8675
-8.05188,-34.94784,-91.59,-95.35,-87.99285714285709,-54.09,-71.6175,-79.96,-90.5566666666667,-97.92399999999999,-97.6,4,2,5,8222
-8.05584,-34.95063,-90.97,-93.5357142857143,-91.6666666666667,-87.7566666666667,-79.0425,-82.9728571428571,-94.1216666666667,-93.204,-96.3725,6,3,3,6938
-8.04955,-34.95309,-83.26,-94.11714285714291,-86.46,-81.95,-94.7325,-86.5426190476191,-91.8966666666667,-96.186,-96.2825,3,4,4,8914
-8.0521,-34.94923,-93.67,-90.92,-89.75285714285721,-64.34,-91.5425,-84.13,-91.45,-95.204,-97.6,4,2,4,8080
-8.05143,-34.95325,-88.3042857142857,-92.18714285714279,-84.83428571428571,-85.58,-87.49,-85.7528571428571,-88.7683333333333,-95.046,-94.7075,4,4,3,8432
-8.051680000000001,-34.95984,-89.2,-95.68428571428569,-89.03619047619048,-99.26,-98.2575,-94.42321428571431,-88.34,-99.194,-75.27,5,7,2,8327
-8.048580000000001,-34.95105,-82.78625,-91.2657142857143,-84.89,-83.13,-91.9475,-84.7,-89.9866666666667,-98.012,-98.7325,2,4,5,9158
